"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"ANDRADE E SILVA, JOSE B. 1827-1866","869.9124","","","","","",""
"ANDRÔNICO, LIVIO poeta latino (séc. III a.C.)","872.1  A585","fflch","","Autor","","",""
"Andronicus, Livius v. ANDRÔNICO, LÍVIO","","","VER ANDRÔNICO, LÍVIO","Autor","","",""
"ANEDOTAS","398.2","fflch","","Assunto","","",""
"Ângela de Foligno (1248 – 1309)","271.973 A581","","","","","",""
"ANGEOLOGIA UP Anjos - Estudo","235.3","7096021","","Assunto","Não enviado","Não normalizado",""
"Angilla v. São Cristovão","","fflch","","Assunto","","",""
"ANGLICANISMO","283","fflch","","Assunto","","",""
"Angola","916.73","fflch","","Assunto","","",""
"ANIMAIS (Aspectos sociais e éticos)","179.3","","","Assunto","","",""
"ANIMISMO (Filosofia)","147","fflch","","Assunto","","",""
"ANIMISMO (Religião)","210.8291.21 (*)","fflch","","Assunto","","",""
"ANJOS, AUGUSTO DOS. 1884-1914","869.9148","","","","","",""
"Anselmo de Laon (1050-1117)","189.4 An618","","","Autor","","",""
"ANSELMO, Santo, Arcebispo de Cantuária (1033-1109)","189.4 A618","fflch","","Autor","","",""
"Antártica","919.89","fflch","","Assunto","","",""
"ANTI-SEMITISMO (História)","909.0482","fflch","","Assunto","","",""
"ANTI-SEMITISMO (Relações étnicas)","301.452305.8924 (*)","fflch","","Assunto","","",""
"ANTICOLONIALISMO (Ideologia política)","321.027","fflch","","Assunto","","",""
"ANTIGO TESTAMENTO (Bíblia)","221(ver  222,223,224)","fflch","","Assunto","","",""
"Antilhas","917.29?","fflch","","Assunto","","",""
"Antilhas Francesas","917.2976","fflch","","Assunto","","",""
"Antilhas Ocidentais Britânicas","917.29?","fflch","","Assunto","","",""
"ANTOLOGIA (GERAL)","808.8","","","","","",""
"ANTOLOGIA ÁRABE","892.708","fflch","","Assunto","","",""
"ANTOLOGIA ARMÊNIA","891.99208","fflch","","Assunto","","",""
"ANTOLOGIA CHINESA","895.108","fflch","","Assunto","","",""
"ANTOLOGIA COREANA","895. 708","fflch","","Assunto","","",""
"ANTOLOGIA DE PEÇAS DE TEATRO (GERAL)","808.82","","","","","",""
"ANTOLOGIA ESPANHOLA","860.8","","","","","",""
"ANTOLOGIA GREGA  VER  LITERATURA GREGA - ANTOLOGIA","","fflch","","Assunto","","",""
"ANTOLOGIA HEBRAICA","892.408","fflch","","Assunto","","",""
"ANTOLOGIA JAPONESA","895.608","fflch","","Assunto","","",""
"ANTOLOGIA POESIA (GERAL)","808.81","","","","","",""
"ANTOLOGIA ROMENA","859.08","fflch","","Assunto","","",""
"ANTOLOGIA RUSSA","891.708","fflch","","Assunto","","",""
"ANTONIO DE PADUA, Santo (Di Padova) 1195-1231","189.2A635","","","Autor","","",""
"Antropofagia v. CANIBALISMO","","fflch","","Assunto","","",""
"Antropogeografia v. GEOGRAFIA HUMANA","","fflch","","Assunto","","",""
"ANTROPOLOGIA","301","","","Assunto","","",""
"ANTROPOLOGIA (Dicionários)","301.2003301.03 (*)","fflch","","Assunto","","",""
"ANTROPOLOGIA (Estudo e ensino)","301.07","fflch","","Assunto","","",""
"ANTROPOLOGIA (História)","301.09","fflch","","Assunto","","",""
"ANTROPOLOGIA (Metodologia)","301.018","fflch","","Assunto","","",""
"ANTROPOLOGIA BIOLÓGICA","599.9","fflch","","Assunto","","",""
"ANTROPOLOGIA CULTURAL E SOCIAL","301.2","fflch","","Assunto","","",""
"ANTROPOLOGIA DA MORTE","306.9","fflch","","Assunto","","",""
"ANTROPOLOGIA DA RELIGIÃO","306.6","fflch","","Assunto","","",""
"ANTROPOLOGIA DEMOGRÁFICA","304.6","fflch","","Assunto","","",""
"ANTROPOLOGIA ECOLÓGICA","304.2","fflch","","Assunto","","",""
"ANTROPOLOGIA ECONÔMICA","301.204","fflch","","Assunto","","",""
"ANTROPOLOGIA EDUCACIONAL","306.43","","","Assunto","","",""
"ANTROPOLOGIA FILOSÓFICA","128","fflch","","Assunto","","",""
"ANTROPOLOGIA FÍSICA","573.2","fflch","","Assunto","Enviado para SIBI","Normalizado",""
"ANTROPOLOGIA LINGUÍSTICA","410.1","fflch","","Assunto","","",""
"ANTROPOLOGIA MÉDICA","306.461","fflch","","Assunto","","",""
"ANTROPOLOGIA POLÍTICA","301.205306.2 (*)","fflch","","Assunto","","",""
"ANTROPOLOGIA RURAL","301.35307.72 (*)","fflch","","Assunto","","",""
"ANTROPOLOGIA URBANA","301.36307.76 (*)","fflch","","","","",""
"ANTROPOLOGIA VISUAL","306.47","fflch","","Assunto","","",""
"ANTROPOMETRIA","573.6","fflch","","Assunto","","",""
"ANTROPOSOFIA","299.935","fflch","","Assunto","","",""
"APARTHEID (Política)","320.56","fflch","","Assunto","","",""
"APARTHEID (Relações étnicas)","301.451305.8 (*)","fflch","","Assunto","","",""
"APELIDOS","398.12","fflch","","Assunto","","",""
"APOCALIPSE (Bíblia)","228","fflch","","Assunto","","",""
"APOCRYPHES (Collection de poche de l'aelac) (Editora Brepols)","229 A643 v.","","","Coleção","","",""
"Apollonius Rhodius v. APOLÔNIO DE RODES","","","","Autor","","",""
"APOLOGÉTICA","291.2","fflch","","Assunto","","",""
"APOLOGÉTICA (Cristianismo)","239","fflch","","Assunto","","",""
"APOLOGÉTICA (Islamismo)","297.29","fflch","","Assunto","","",""
"APOLOGÉTICA (Judaísmo)","296.35","fflch","","Assunto","","",""
"APOLÔNIO DE RODES (Poesia épica e romance grego)","883.3","fflch","","Autor","","",""
"APOSENTADORIA E PENSÕES","331.252","fflch","","Assunto","","",""
"APULEIO, escritor romano (125-c. 180)","879 A665","fflch","Escritor romano","Autor","","",""
"Apulée  USE APULEIO (125-180)","","","","Autor","","",""
"Apulien USE APULEIO (125-c180)","","","","Autor","","",""
"AQUÍFEROS","551.49","fflch","","Assunto","","",""
"AQUISIÇÕES, FUSÕES E INCORPORAÇÕES DE EMPRESAS","338.83","fflch","","Assunto","","",""
"ÁRABE - ALFABETO","492.771","","","","","",""
"ÁRABE - DIALETOS","492.771","","","","","",""
"ÁRABE - DICIONÁRIO","492.73","","","","","",""
"ÁRABE - ESTUDO E ENSINO","492.707","","","","","",""
"ÁRABE - ETIMOLOGIA","492.7","","","","","",""
"ÁRABE - FONOLOGIA","492.7","","","","","",""
"ÁRABE - GRAMÁTICA","492.75","","","","","",""
"ÁRABE - LÍNGUA","492.7","","","","","",""
"Arábia Saudita","915.38","fflch","","Assunto","","",""
"ARATOS, poeta e astrônomo grego (c.315-c.240 a.C.)","881.2","fflch","","Autor","","",""
"ARAWA - LINGUA","498.3","","","","","",""
"Archilochus, ou, Archilochos, poeta lírico v. ARQUÍLOCO","","","","Autor","","",""
"ÁREAS AGROINDUSTRIAIS","307.332","fflch","","Assunto","","",""
"ÁREAS CENTRAIS","307.342","fflch","","Assunto","","",""
"ÁREAS COMERCIAIS","307.333","fflch","","Assunto","","",""
"ÁREAS CULTURAIS","307.334","fflch","","Assunto","","",""
"ÁREAS DE CONSERVAÇÃO","333.72","fflch","","Assunto","","",""
"ÁREAS DE LAZER","307.334","fflch","","Assunto","","",""
"ÁREAS HOSPITALARES","711.555","fflch","","Assunto","","",""
"ÁREAS INDUSTRIAIS","307.332","fflch","","Assunto","","",""
"ÁREAS METROPOLITANAS","307.764","","","Assunto","","",""
